Что пишем в бота для создания заявки;Что отображается в сделке Битрикс24
"""🚗 Комфорт!""";Комфорт! Jolion, X-Cite, оптима и выше
Комфорт +;Комфорт +! Класс D, Camry, optima, k5 и подобные от 2018гв
Микроавтобус ;Микроавтобус! Mercedes sprinter, pegout boxer и подобные 
Минивэн ;Минивэн! Hyundai Starex и подобные до 8ми мест 
Минивэн vip;Минивэн VIP! Mercedes V-class, hyundai staria и подобные 
Автобус ;Автобус! Ютонг и подобные до 55 мест 
Бизнес ;Бизнес! BMW 5, MERCEDES E-CLASS И ПОДОБНЫЕ ОТ 2018 ГВ 
Представительский ;Представительский! Mercedes s-class, Mercedes Maybach, BMW 7 и подобные 
Кроссовер! ;Кроссовер! Jolion, Geely Atlas Pro, и подобные 
Джип! ;Джип! Land Cruser, BMW x 5 и подобные 
Внедорожник! ;Внедорожник! Уаз патриот и подобные 
УСЛУГА ТРЕЗВЫЙ ВОДИТЕЛЬ ;Услуга ТРЕЗВЫЙ ВОДИТЕЛЬ 
Доставка ;Доставка
;
;
